order_id,customer_id,order_date,total_amount,region_id,channel_id,order_item_id,product_id,quantity,price_x,total_price,product_name,price_y,supplier_id,category_id
25,298,2025-06-16,3066.19,1,3,1490,488,2,1552.32,3104.64,Correction Pen,199.33,36,
25,298,2025-06-16,3066.19,1,3,2859,300,3,1960.88,5882.64,Black Urad,316.9,2,
26,1385,2025-05-31,9602.37,1,1,3048,574,4,1520.01,6080.04,Dog Clothes,213.56,81,
26,1385,2025-05-31,9602.37,1,1,10078,144,5,164.44,822.2,Frozen Kulfi,21.72,90,
27,1276,2025-06-12,1876.92,2,4,3979,395,5,1759.73,8798.65,Organic Tea,246.71,60,
27,1276,2025-06-12,1876.92,2,4,6247,360,2,585.54,1171.08,Curry Leaves,203.11,23,
28,802,2024-08-07,8902.17,1,1,738,82,2,724.8,1449.6,Pineapple Squash,415.18,46,
28,802,2024-08-07,8902.17,1,1,7371,67,5,879.52,4397.6,Neem Oil,333.1,99,
28,802,2024-08-07,8902.17,1,1,10978,582,3,1104.54,3313.62,Window Wiper,10.11,56,
28,802,2024-08-07,8902.17,1,1,11729,376,4,1905.34,7621.36,Protein Bar,337.14,99,
30,912,2025-01-17,2755.36,5,2,6254,105,4,162.07,648.28,Measuring Cups,421.23,46,
30,912,2025-01-17,2755.36,5,2,9307,495,3,1610.31,4830.93,Tandoori Masala,366.12,53,
31,2064,2025-04-25,1240.33,1,3,5293,231,1,475.56,475.56,Fanta,347.39,57,
31,2064,2025-04-25,1240.33,1,3,11881,583,5,499.9,2499.5,Scissors,409.85,60,
32,432,2024-11-11,5284.54,1,1,100,591,1,856.49,856.49,Ricotta,142.98,96,
32,432,2024-11-11,5284.54,1,1,4494,898,5,391.09,1955.4499999999998,Muffins,144.85,53,
32,432,2024-11-11,5284.54,1,1,4981,336,4,1017.21,4068.84,Sattu Drink,245.44,99,
32,432,2024-11-11,5284.54,1,1,6469,864,5,399.52,1997.6,Pooja Box,169.97,15,
32,432,2024-11-11,5284.54,1,1,8175,399,1,1630.21,1630.21,Mortar & Pestle,430.8,86,
34,1512,2024-11-26,8549.66,4,4,1347,410,2,829.4,1658.8,Real Juice,274.11,3,
34,1512,2024-11-26,8549.66,4,4,3389,245,4,912.76,3651.04,Festival Garland,121.83,68,
34,1512,2024-11-26,8549.66,4,4,6933,363,1,566.8,566.8,Raksha Bandhan Sweets,310.94,12,
34,1512,2024-11-26,8549.66,4,4,7173,876,4,1768.58,7074.32,Glass Cleaner,232.57,26,
35,1785,2025-06-01,3497.16,2,1,590,18,2,536.93,1073.86,Refined Oil,280.31,36,
35,1785,2025-06-01,3497.16,2,1,2156,57,3,386.94,1160.82,Baby Powder,462.66,43,
35,1785,2025-06-01,3497.16,2,1,5731,161,3,704.08,2112.2400000000002,Mango Chutney,91.88,86,
35,1785,2025-06-01,3497.16,2,1,6765,478,2,1862.53,3725.06,Butter Ghee,223.46,16,
35,1785,2025-06-01,3497.16,2,1,8699,458,2,890.33,1780.66,Frozen Berries,454.42,96,
36,1866,2025-06-19,4752.02,3,1,2923,442,4,1680.87,6723.48,Chivda,244.02,80,
36,1866,2025-06-19,4752.02,3,1,5904,744,4,1401.81,5607.24,Sticky Notes,488.83,95,
37,970,2024-08-13,9894.27,1,2,1215,245,1,866.76,866.76,Festival Garland,121.83,68,
37,970,2024-08-13,9894.27,1,2,9060,519,1,487.14,487.14,Hot Water Bag,373.1,95,
37,970,2024-08-13,9894.27,1,2,11573,849,3,676.75,2030.25,Baby Oil,121.48,64,
38,2555,2025-02-13,8087.13,2,1,2493,265,2,1033.73,2067.46,Organic Spices,490.18,75,
38,2555,2025-02-13,8087.13,2,1,2582,699,2,1015.28,2030.56,Tiffin Box,94.81,48,
38,2555,2025-02-13,8087.13,2,1,3852,620,3,1160.2,3480.6000000000004,Lemon Soda,414.36,77,
38,2555,2025-02-13,8087.13,2,1,4947,514,4,172.39,689.56,Frozen Chicken Sausage,425.42,66,
39,2963,2025-07-08,7654.69,3,2,3958,593,3,497.66,1492.98,Rice Oil,185.44,90,
39,2963,2025-07-08,7654.69,3,2,5276,819,2,890.31,1780.62,Valentine Roses,497.89,17,
39,2963,2025-07-08,7654.69,3,2,7406,700,4,1058.08,4232.32,Frozen Paneer,112.59,71,
39,2963,2025-07-08,7654.69,3,2,8828,583,4,211.79,847.16,Scissors,409.85,60,
39,2963,2025-07-08,7654.69,3,2,11547,81,3,1932.07,5796.21,Formula Milk,269.63,19,
40,1115,2025-07-23,8097.18,1,4,7060,901,1,1187.43,1187.43,Wiper,420.33,80,
40,1115,2025-07-23,8097.18,1,4,7329,249,1,1109.94,1109.94,Biscotti,24.59,54,
40,1115,2025-07-23,8097.18,1,4,9251,958,5,114.01,570.0500000000001,Cat Treats,299.58,97,
41,189,2025-05-22,6860.71,2,1,2121,607,4,1940.94,7763.76,Antiseptic Cream,111.72,22,
41,189,2025-05-22,6860.71,2,1,3091,257,4,1618.21,6472.84,Complan,167.84,25,
42,2167,2025-02-22,3607.64,3,4,1441,876,1,125.18,125.18,Glass Cleaner,232.57,26,
42,2167,2025-02-22,3607.64,3,4,2033,501,1,554.0,554.0,Jam,12.05,76,
42,2167,2025-02-22,3607.64,3,4,6923,979,1,1710.85,1710.85,Face Serum,322.37,98,
42,2167,2025-02-22,3607.64,3,4,11131,546,5,613.23,3066.15,Baby Comb,227.19,91,
43,396,2024-10-10,7174.02,1,2,10854,327,5,1288.32,6441.599999999999,Aloo Bhujia,198.6,90,
46,2860,2025-05-07,9801.65,3,3,8796,452,5,1786.88,8934.400000000001,Raksha Bandhan Card,318.03,97,
47,2665,2025-01-13,786.24,3,1,6138,429,2,730.42,1460.84,Bay Leaf,164.88,6,
47,2665,2025-01-13,786.24,3,1,7724,396,3,429.8,1289.4,Face Cream,442.4,19,
47,2665,2025-01-13,786.24,3,1,10232,772,3,979.28,2937.84,Microwave Pasta,12.64,23,
47,2665,2025-01-13,786.24,3,1,10533,196,3,1501.78,4505.34,Mango Crush,405.02,19,
48,1533,2025-02-20,7509.21,6,1,7777,816,4,1269.48,5077.92,Cardamom,414.22,25,
49,2234,2024-12-28,1046.8,2,1,8959,449,2,1424.76,2849.52,Pineapple,412.62,14,
50,988,2025-04-19,3250.97,2,1,9826,147,5,718.63,3593.15,White Board,291.54,64,
51,716,2024-10-03,6242.91,4,1,729,612,1,333.43,333.43,Sugarcane Juice,53.16,37,
51,716,2024-10-03,6242.91,4,1,2478,453,5,437.94,2189.7,Herbal Drink,373.35,69,
51,716,2024-10-03,6242.91,4,1,6489,834,5,488.05,2440.25,Bisleri Soda,126.04,34,
52,312,2025-05-15,3243.11,6,3,2124,484,2,520.42,1040.84,Organic Ghee,11.54,78,
52,312,2025-05-15,3243.11,6,3,3712,907,2,1663.31,3326.62,Tomato Pickle,127.65,83,
52,312,2025-05-15,3243.11,6,3,7655,274,4,1282.42,5129.68,Cheese Slice,143.51,59,
53,265,2024-11-10,5739.82,5,2,2803,826,1,1603.61,1603.61,Dustbin,481.97,69,
53,265,2024-11-10,5739.82,5,2,3126,464,1,1320.07,1320.07,Khakhra,21.59,46,
54,2433,2024-12-26,4690.23,4,3,4675,189,5,1091.41,5457.05,Frozen Lasagna,50.9,57,
54,2433,2024-12-26,4690.23,4,3,8823,832,4,1990.04,7960.16,Apple,309.23,29,
55,123,2025-06-01,1005.96,5,3,1227,134,2,1666.05,3332.1,Tea Masala,208.15,78,
55,123,2025-06-01,1005.96,5,3,5573,925,3,869.11,2607.33,Basmati Rice,400.34,34,
55,123,2025-06-01,1005.96,5,3,7832,372,5,1215.09,6075.45,Cat Biscuit,433.75,10,
55,123,2025-06-01,1005.96,5,3,11333,171,5,1697.93,8489.65,Sanitizer,427.79,70,
56,1719,2025-01-22,1848.83,4,4,5927,19,3,1044.74,3134.2200000000003,Instant Soup,486.23,54,
56,1719,2025-01-22,1848.83,4,4,9321,92,1,971.45,971.45,Paneer Masala,427.57,22,
57,2672,2024-12-06,5656.91,5,2,10508,96,2,920.14,1840.28,Brass Diya,432.63,72,
58,2087,2024-10-27,3056.88,6,1,7331,219,5,1081.21,5406.05,Baby Powder,18.68,81,
58,2087,2024-10-27,3056.88,6,1,8060,137,4,403.94,1615.76,South Indian Pickle,147.02,60,
58,2087,2024-10-27,3056.88,6,1,8673,423,4,1445.2,5780.8,Bucket,49.08,17,
58,2087,2024-10-27,3056.88,6,1,9183,753,2,1195.15,2390.3,Iced Tea Mix,313.11,10,
60,1471,2025-04-13,4657.28,4,2,9324,70,4,647.59,2590.36,Deodorant,50.53,35,
62,2369,2025-04-28,799.5,5,1,3450,317,1,1919.22,1919.22,Throat Lozenges,337.63,93,
62,2369,2025-04-28,799.5,5,1,5711,107,1,537.77,537.77,Chivda,267.09,50,
62,2369,2025-04-28,799.5,5,1,6624,511,1,305.46,305.46,Laundry Basket,272.66,98,
62,2369,2025-04-28,799.5,5,1,9231,402,3,384.25,1152.75,Organic Mango,302.98,48,
62,2369,2025-04-28,799.5,5,1,9862,556,1,1773.57,1773.57,Cleaning Brush,200.82,48,
64,1693,2024-09-27,7143.65,1,3,11166,672,5,1225.71,6128.55,Microwave Pasta,195.74,40,
64,1693,2024-09-27,7143.65,1,3,11176,484,3,1659.25,4977.75,Organic Ghee,11.54,78,
65,2204,2024-08-13,5594.64,4,4,9595,758,1,1088.88,1088.88,Fenugreek,162.1,41,
66,226,2025-08-02,9926.41,4,3,973,167,5,1402.76,7013.8,Chicken Breast,111.18,50,
66,226,2025-08-02,9926.41,4,3,1653,303,3,1539.66,4618.9800000000005,Pickle in Oil,432.6,26,
66,226,2025-08-02,9926.41,4,3,9898,580,4,1366.26,5465.04,Mustard Oil,146.78,93,
67,454,2025-02-05,2952.99,1,4,10001,829,2,1679.96,3359.92,Broccoli,230.62,28,
68,1958,2024-08-11,4418.5,6,3,125,939,1,373.19,373.19,Peeler,28.6,57,
68,1958,2024-08-11,4418.5,6,3,4454,42,1,259.04,259.04,Scrub Pad,320.35,33,
68,1958,2024-08-11,4418.5,6,3,9392,195,5,1558.37,7791.849999999999,Meat Masala,313.07,66,
70,620,2025-04-27,9751.58,4,4,4566,396,5,873.61,4368.05,Face Cream,442.4,19,
70,620,2025-04-27,9751.58,4,4,11552,44,4,444.4,1777.6,Tea Masala,76.35,50,
72,2635,2024-10-10,4029.84,2,1,5784,578,4,246.93,987.72,Ganga Jal,274.64,5,
72,2635,2024-10-10,4029.84,2,1,9357,838,5,1324.47,6622.35,Stuffed Pickle,249.16,76,
73,2898,2024-11-16,7018.76,6,4,471,238,5,1178.91,5894.55,Lady Finger,364.45,22,
73,2898,2024-11-16,7018.76,6,4,1690,753,1,1280.7,1280.7,Iced Tea Mix,313.11,10,
74,1777,2024-10-05,6675.96,6,4,6904,965,1,1481.11,1481.11,Coconut Chutney Mix,121.05,23,
74,1777,2024-10-05,6675.96,6,4,7480,668,1,1039.53,1039.53,Lobia,57.45,31,
75,2979,2025-04-27,1690.05,5,2,9624,514,4,1894.98,7579.92,Frozen Chicken Sausage,425.42,66,
76,2054,2024-11-22,6211.99,6,3,1429,826,2,1528.45,3056.9,Dustbin,481.97,69,
76,2054,2024-11-22,6211.99,6,3,2813,842,3,1496.37,4489.11,Organic Milk,209.7,45,
77,908,2025-08-01,2205.31,6,2,751,592,4,466.33,1865.32,Mango Pickle,332.06,19,
77,908,2025-08-01,2205.31,6,2,11495,678,5,1944.57,9722.85,Incense Stick,260.36,23,
78,1288,2025-03-05,547.96,6,4,7881,652,3,127.02,381.06,Highlighter,163.37,95,
78,1288,2025-03-05,547.96,6,4,10163,928,5,1171.99,5859.95,Dhokla Mix,42.2,28,
79,1368,2025-07-21,1578.89,4,1,588,743,1,1614.48,1614.48,Tender Coconut,201.69,14,
79,1368,2025-07-21,1578.89,4,1,1843,701,4,399.55,1598.2,Frozen Coconut,200.96,45,
79,1368,2025-07-21,1578.89,4,1,9757,810,1,749.68,749.68,Nescafe,460.73,77,
80,1059,2025-03-13,2606.0,5,4,1294,905,3,1214.23,3642.69,Black Salt,296.78,11,
84,2603,2024-09-23,5425.78,1,3,7254,595,1,571.62,571.62,Radish,444.88,76,
85,1891,2025-02-15,4792.97,6,3,7825,16,4,354.53,1418.12,Buttermilk,333.43,50,
87,1212,2024-08-24,6833.87,1,2,3068,582,3,1708.11,5124.33,Window Wiper,10.11,56,
88,760,2025-04-28,5526.63,1,1,2314,736,5,1981.76,9908.8,Instant Uttapam,337.09,36,
88,760,2025-04-28,5526.63,1,1,10389,129,3,1857.82,5573.46,Black Board,327.67,85,
89,1925,2025-04-17,3170.38,1,1,578,452,4,517.14,2068.56,Raksha Bandhan Card,318.03,97,
89,1925,2025-04-17,3170.38,1,1,8840,457,2,1258.28,2516.56,Cow Milk,488.14,27,
90,585,2025-03-09,5762.82,3,4,4571,913,2,1318.59,2637.18,Mocktail Mix,211.8,16,
90,585,2025-03-09,5762.82,3,4,4797,152,1,744.19,744.19,Nebulizer,120.86,93,
91,150,2024-09-20,8325.97,5,1,5089,831,4,339.35,1357.4,Rasmalai,84.2,61,
91,150,2024-09-20,8325.97,5,1,7090,492,3,156.12,468.36,Lint Roller,202.19,55,
92,412,2025-07-09,796.74,2,2,4786,811,3,520.57,1561.71,Christmas Wreath,122.42,55,
93,1876,2025-03-21,8717.66,1,4,296,893,1,1026.02,1026.02,Lux,193.71,9,
93,1876,2025-03-21,8717.66,1,4,9641,708,2,930.15,1860.3,Ladle Set,492.14,64,
93,1876,2025-03-21,8717.66,1,4,10986,362,5,1876.67,9383.35,Milkmaid,152.52,69,
94,658,2025-05-05,4474.45,4,1,1257,870,3,1534.86,4604.58,Ready Fried Rice,104.5,32,
94,658,2025-05-05,4474.45,4,1,2170,295,3,1728.56,5185.68,Beetroot,419.2,28,
94,658,2025-05-05,4474.45,4,1,5282,549,4,1143.03,4572.12,Eraser,58.05,90,
94,658,2025-05-05,4474.45,4,1,11896,135,1,852.82,852.82,Ice Tea,285.6,28,
96,1625,2025-02-18,9033.38,1,4,7021,592,1,356.97,356.97,Mango Pickle,332.06,19,
97,1744,2025-04-02,5848.32,6,2,3846,398,4,1212.35,4849.4,Chicken Masala,150.78,20,
97,1744,2025-04-02,5848.32,6,2,6044,716,3,650.5,1951.5,Dry Orange,220.92,46,
98,2430,2024-09-13,5256.41,6,1,3639,771,5,240.23,1201.1499999999999,Toast,389.64,99,
99,307,2024-08-30,1362.86,4,1,217,35,1,1153.71,1153.71,Brass Diya,205.52,23,
99,307,2024-08-30,1362.86,4,1,8671,343,5,1742.37,8711.849999999999,7 Up,338.38,78,
100,383,2024-10-23,9160.93,2,1,2546,363,2,1635.8,3271.6,Raksha Bandhan Sweets,310.94,12,
100,383,2024-10-23,9160.93,2,1,3132,236,1,516.8,516.8,Milkmaid,488.43,91,
100,383,2024-10-23,9160.93,2,1,6897,519,1,542.23,542.23,Hot Water Bag,373.1,95,
100,383,2024-10-23,9160.93,2,1,10762,962,1,1895.47,1895.47,Tongs,482.0,68,
101,2294,2024-12-30,8224.51,2,3,2605,528,2,728.42,1456.84,Giloy Tablets,273.0,21,
101,2294,2024-12-30,8224.51,2,3,4777,742,1,1459.31,1459.31,Carrot,403.82,60,
101,2294,2024-12-30,8224.51,2,3,6551,543,2,692.33,1384.66,Catla Fish,28.03,55,
101,2294,2024-12-30,8224.51,2,3,7419,703,3,928.89,2786.67,Kasuri Methi,142.86,94,
102,1998,2024-11-29,9135.94,4,2,8797,685,5,542.08,2710.4,Cream Roll,135.34,28,
102,1998,2024-11-29,9135.94,4,2,9402,201,4,735.01,2940.04,Serving Bowl,352.9,23,
103,322,2025-02-13,9532.95,4,3,564,91,1,1343.98,1343.98,Soybean Oil,54.41,3,
103,322,2025-02-13,9532.95,4,3,7023,315,5,585.66,2928.2999999999997,Bell,48.59,80,
103,322,2025-02-13,9532.95,4,3,7870,439,1,787.49,787.49,Masala Peanuts,310.17,86,
104,756,2025-04-16,7102.7,4,3,583,881,3,272.06,816.1800000000001,Masala Peanuts,26.81,5,
104,756,2025-04-16,7102.7,4,3,3086,393,2,1184.02,2368.04,Storage Containers,309.78,71,
105,28,2025-01-06,7890.77,6,3,7658,121,5,1871.6,9358.0,Cow Milk,98.93,52,
105,28,2025-01-06,7890.77,6,3,7776,843,3,1874.69,5624.07,Chole Masala,257.47,90,
105,28,2025-01-06,7890.77,6,3,10185,932,5,1401.99,7009.95,Dog Clothes,343.28,83,
106,194,2024-09-23,3960.61,5,4,1175,188,3,967.45,2902.3500000000004,Holi Colors,489.44,45,
106,194,2024-09-23,3960.61,5,4,3473,224,3,420.56,1261.68,White Bread,307.1,98,
106,194,2024-09-23,3960.61,5,4,7901,221,3,1618.67,4856.01,Mocktail Syrup,418.27,41,
106,194,2024-09-23,3960.61,5,4,9623,338,2,1392.28,2784.56,Red Chili Powder,177.47,26,
107,461,2024-09-10,5537.46,3,2,1651,399,3,234.07,702.21,Mortar & Pestle,430.8,86,
107,461,2024-09-10,5537.46,3,2,2893,562,5,122.69,613.45,Bird Food,363.58,54,
107,461,2024-09-10,5537.46,3,2,9588,734,3,207.59,622.77,Pooja Garland,164.51,10,
108,87,2025-04-22,9430.12,3,4,2441,784,3,795.46,2386.38,Mixing Bowl,43.63,25,
108,87,2025-04-22,9430.12,3,4,2641,640,5,550.8,2754.0,Bay Leaf,288.69,66,
109,2270,2024-08-31,8406.13,5,3,4031,493,4,1832.39,7329.56,Raksha Bandhan Sweets,299.98,100,
110,749,2025-06-01,9768.67,3,4,7568,8,1,467.4,467.4,Cupcake,375.87,68,
111,1929,2024-12-12,7519.09,2,3,4023,744,5,502.36,2511.8,Sticky Notes,488.83,95,
112,2765,2025-02-24,2821.19,6,2,3582,365,4,366.63,1466.52,Instant Kheer,81.21,83,
112,2765,2025-02-24,2821.19,6,2,9248,816,4,574.83,2299.32,Cardamom,414.22,25,
112,2765,2025-02-24,2821.19,6,2,9678,443,5,363.25,1816.25,Lychee,376.97,19,
114,2283,2024-12-18,5555.8,3,3,1359,308,3,1472.75,4418.25,Organic Dry Fruits,463.0,16,
114,2283,2024-12-18,5555.8,3,3,3969,822,1,595.46,595.46,Ready Soup,493.37,34,
114,2283,2024-12-18,5555.8,3,3,10828,551,4,367.23,1468.92,Til Laddu,203.71,55,
115,1066,2024-11-20,7724.62,5,3,6876,489,2,787.66,1575.32,Pet Vitamins,201.47,69,
115,1066,2024-11-20,7724.62,5,3,7552,204,2,1866.72,3733.44,Serving Bowl,420.88,7,
115,1066,2024-11-20,7724.62,5,3,8032,848,1,1419.36,1419.36,Avocado Oil,79.18,18,
116,1461,2025-06-06,969.25,4,4,2096,974,5,1867.57,9337.85,Ragi Flour,238.25,53,
116,1461,2025-06-06,969.25,4,4,2414,323,1,1195.19,1195.19,Baby Shampoo,99.82,89,
116,1461,2025-06-06,969.25,4,4,2703,749,3,1399.62,4198.86,Pet Shampoo,497.77,13,
116,1461,2025-06-06,969.25,4,4,8122,267,3,452.81,1358.43,Dhoop,76.9,56,
116,1461,2025-06-06,969.25,4,4,9975,286,1,660.23,660.23,Ready Bhindi Fry,105.66,22,
117,1720,2025-07-02,3755.91,2,3,8642,680,5,167.61,838.0500000000001,Vanilla Shake,171.96,99,
117,1720,2025-07-02,3755.91,2,3,11934,896,5,1654.4,8272.0,Burger Buns,309.95,87,
118,1889,2024-09-10,7276.99,5,4,8383,795,4,1689.36,6757.44,Crisp,312.4,10,
118,1889,2024-09-10,7276.99,5,4,9006,904,2,698.64,1397.28,Dove,159.6,91,
119,1134,2024-11-21,6276.04,3,2,7582,775,2,1391.4,2782.8,Doughnut,18.0,11,
120,328,2025-05-25,2921.64,6,3,7015,548,2,1808.14,3616.28,Falooda Mix,409.39,10,
120,328,2025-05-25,2921.64,6,3,7293,388,3,824.4,2473.2,Ready Roti,27.63,9,
120,328,2025-05-25,2921.64,6,3,10623,931,3,903.94,2711.82,Cat Collar,99.52,46,
121,101,2024-10-09,8411.34,5,2,358,405,1,859.37,859.37,Spirulina,247.12,49,
121,101,2024-10-09,8411.34,5,2,1744,69,1,1837.35,1837.35,Protein Bar,53.52,92,
121,101,2024-10-09,8411.34,5,2,9293,767,1,1388.42,1388.42,Frozen Cutlets,469.67,98,
122,391,2025-03-30,9837.51,1,3,6915,244,5,1481.78,7408.9,ORS Powder,306.01,52,
122,391,2025-03-30,9837.51,1,3,8870,986,3,637.77,1913.31,Frozen Tikki,44.27,25,
123,1889,2024-12-09,1809.45,1,2,4406,744,5,1380.28,6901.4,Sticky Notes,488.83,95,
125,2740,2025-05-09,587.34,1,3,8922,875,4,241.58,966.32,Milkshake,381.59,85,
126,2658,2025-05-13,2691.19,4,4,3912,650,4,927.63,3710.52,Raspberry,278.56,52,
126,2658,2025-05-13,2691.19,4,4,8910,174,5,1828.94,9144.7,Hair Gel,417.46,96,
126,2658,2025-05-13,2691.19,4,4,11528,647,2,233.1,466.2,Feeding Bottle,199.09,2,
127,1966,2024-12-09,7910.42,6,4,3664,300,5,1898.43,9492.15,Black Urad,316.9,2,
128,2007,2024-08-23,3939.27,1,3,492,92,4,582.68,2330.72,Paneer Masala,427.57,22,
128,2007,2024-08-23,3939.27,1,3,2359,508,3,1442.71,4328.13,Avocado Oil,225.71,24,
128,2007,2024-08-23,3939.27,1,3,6796,315,2,675.78,1351.56,Bell,48.59,80,
128,2007,2024-08-23,3939.27,1,3,7824,997,2,1412.58,2825.16,Conditioner,96.01,62,
129,1339,2024-12-06,9688.4,3,1,407,598,2,480.4,960.8,Instant Khichdi,65.39,100,
129,1339,2024-12-06,9688.4,3,1,3854,150,4,312.81,1251.24,Soybean Oil,38.74,17,
129,1339,2024-12-06,9688.4,3,1,9683,15,5,1116.19,5580.950000000001,White Board,349.55,33,
130,1089,2024-08-28,6393.17,2,3,722,174,4,183.63,734.52,Hair Gel,417.46,96,
130,1089,2024-08-28,6393.17,2,3,4800,555,2,320.08,640.16,Instant Pongal,88.06,25,
130,1089,2024-08-28,6393.17,2,3,6392,313,5,1383.98,6919.9,Cat Toy,388.44,22,
131,1599,2024-10-02,6719.79,1,2,2806,496,4,393.05,1572.2,Oats Chips,429.85,93,
131,1599,2024-10-02,6719.79,1,2,6921,25,2,608.63,1217.26,Electral,459.51,19,
131,1599,2024-10-02,6719.79,1,2,10010,233,4,356.48,1425.92,Pasta Sauce,366.16,58,
132,1854,2024-11-23,3689.83,4,2,3080,356,3,1814.51,5443.53,Harpic,11.4,46,
133,1214,2025-03-17,4210.39,6,2,1136,582,4,1123.99,4495.96,Window Wiper,10.11,56,
133,1214,2025-03-17,4210.39,6,2,3438,88,1,387.85,387.85,Malai,50.74,18,
133,1214,2025-03-17,4210.39,6,2,7846,385,5,1258.57,6292.849999999999,Nimbu Pani Mix,387.67,67,
133,1214,2025-03-17,4210.39,6,2,10604,913,2,978.01,1956.02,Mocktail Mix,211.8,16,
